"IDRSSD"	FDIC Certificate Number	OCC Charter Number	OTS Docket Number	Primary ABA Routing Number	Financial Institution Name	Financial Institution Address	Financial Institution City	Financial Institution State	Financial Institution Zip Code	Financial Institution Filing Type	Last Date/Time Submission Updated On
821278	57125	0	9556	236073461	CHELTEN HILLS SAVINGS BANK	2 HIDDEN LANE 	ABINGTON	PA	19001	041	2015-01-27T11:14:05
821559	26755	0	13707	91971627	MINNESOTA FIRST CREDIT AND SAVINGS, INCORPORATED	1932 VIKING DRIVE NORTHWEST 	ROCHESTER	MN	55901	041	2015-01-26T16:14:13
821643	11343	0	10514	73911812	ASHTON STATE BANK	317 THIRD STREET 	ASHTON	IA	51232	041	2015-01-17T14:10:18
821652	16218	0	16011	111922132	TEXAS STAR BANK, SSB	1ST & GASSAWAY AVENUE 	LOTT	TX	76656	041	2015-01-16T10:45:16
821906	18467	0	0	11102612	SALISBURY BANK AND TRUST COMPANY	5 BISSELL STREET 	LAKEVILLE	CT	06039	041	2015-06-12T16:35:30
822042	5019	0	9655	72402283	SOUTHERN MICHIGAN BANK & TRUST	51 WEST PEARL STREET 	COLDWATER	MI	49036	041	2015-01-29T09:13:11
822051	10167	0	0	91204527	CITIZENS STATE BANK OF ROSEAU	118 MAIN AVENUE SOUTH 	ROSEAU	MN	56751	041	2015-01-20T11:35:46
822275	28213	701149	1149	211370406	WINTER HILL BANK, FSB	342 BROADWAY 	SOMERVILLE	MA	02145	041	2015-01-23T08:26:06
822408	18209	0	8748	211174275	LITCHFIELD BANCORP	294 WEST STREET 	LITCHFIELD	CT	06759	041	2015-01-30T14:34:10
822556	20099	0	0	111903232	TEXAS EXCHANGE BANK, SSB	109 NORTH CROWLEY ROAD 	CROWLEY	TX	760362697	041	2016-09-15T17:17:03
822631	19796	0	17247	71108782	MIDLAND COMMUNITY BANK	112 MARKET STREET 	KINCAID	IL	62540	041	2015-01-07T14:40:44
822846	8500	0	15780	73921585	FIRST STATE BANK	200 MOOREHEAD AVENUE 	IDA GROVE	IA	51445	041	2015-01-26T10:57:43
822976	29141	0	0	291270665	WELLS FEDERAL BANK	53 FIRST ST. SW 	WELLS	MN	56097	041	2015-01-15T17:46:30
823076	29986	0	4485	281071081	GUARDIAN SAVINGS BANK	3800 NAMEOKI ROAD 	GRANITE CITY	IL	62040	041	2015-01-16T18:58:00
823133	926	14418	0	71102487	PEOPLES NATIONAL BANK OF KEWANEE	207 NORTH TREMONT 	KEWANEE	IL	61443	041	2015-04-08T10:40:43
823142	10804	0	0	81903715	DU QUOIN STATE BANK	15 EAST MAIN STREET 	DU QUOIN	IL	62832	041	2015-01-21T13:05:32
823450	17643	14786	0	112202123	FIRST NATIONAL BANK	414 10TH STREET 	ALAMOGORDO	NM	883106766	041	2015-01-26T13:04:49
823478	29147	0	2995	226072511	NORTHEAST COMMUNITY BANK	325 HAMILTON AVENUE 	WHITE PLAINS	NY	10601	041	2015-03-11T13:27:55
823553	17569	0	0	101108050	BANK OF DENTON, THE	510 MAIN STREET 	DENTON	KS	66017	041	2015-01-22T13:02:05
823638	15580	0	17511	61206843	FIRST BANK OF COASTAL GEORGIA	250 WEST BACON STREET 	PEMBROKE	GA	31321	041	2015-01-14T08:56:40
823656	9770	0	0	91206101	FIRST STATE BANK SOUTHWEST	202 EIGHTH AVENUE SOUTHEAST 	PIPESTONE	MN	56164	041	2015-01-28T09:09:53
824000	17484	0	0	11300142	COMMERCE BANK & TRUST COMPANY	386 MAIN STREET 	WORCESTER	MA	01608	041	2015-01-29T06:46:33
824242	13774	0	13729	73912060	BENTON COUNTY STATE BANK	212 LOCUST STREET NORTHEAST 	BLAIRSTOWN	IA	52209	041	2015-01-07T11:51:56
824653	3161	4701	0	111906501	TEXAS HERITAGE NATIONAL BANK	107 WEBB STREET 	DAINGERFIELD	TX	75638	041	2015-01-14T16:31:28
824671	29995	704504	4504	231374916	PHOENIXVILLE FEDERAL BANK AND TRUST	564 NUTT ROAD 	PHOENIXVILLE	PA	19460	041	2015-06-11T13:36:52
824738	3688	347	11616	71113984	FIRST NATIONAL BANK OF LACON	111 SOUTH BROAD 	LACON	IL	61540	041	2015-01-10T10:37:06
825146	18429	0	10842	71123204	MORTON COMMUNITY BANK	721 WEST JACKSON 	MORTON	IL	61550	041	2015-03-04T13:40:31
825454	8282	0	0	81513574	FIRST MISSOURI STATE BANK	1902 SUNSET DRIVE 	POPLAR BLUFF	MO	63901	041	2015-01-29T10:01:19
825548	1936	0	0	81509449	COMMUNITY STATE BANK OF MISSOURI	117 WEST CHURCH STREET 	BOWLING GREEN	MO	63334	041	2015-01-26T12:14:03
825753	16863	0	0	91016566	CITIZENS INDEPENDENT BANK	5000 WEST 36TH STREET 	SAINT LOUIS PARK	MN	55416	041	2015-04-29T16:27:16
825847	14195	0	0	73907729	FARMERS TRUST & SAVINGS BANK	101 NORTH MAIN STREET 	BUFFALO CENTER	IA	50424	041	2016-07-11T09:20:21
825940	2733	0	0	83904505	BANK OF BUFFALO	2441 GREENSBURG ROAD 	BUFFALO	KY	42716	041	2015-01-26T14:14:53
826255	17640	0	0	96000988	CAPITAL BANK	1020 RICE STREET 	SAINT PAUL	MN	55117	041	2015-01-09T14:54:52
826451	2328	0	0	103103668	AMERICAN EXCHANGE BANK, LINDSAY, OKLAHOMA	402 SOUTH MAIN STREET 	LINDSAY	OK	73052	041	2015-02-12T15:19:45
826648	15772	0	0	73921873	MEDIAPOLIS SAVINGS BANK	605 MAIN STREET 	MEDIAPOLIS	IA	52637	041	2015-01-28T10:47:49
826956	9423	0	0	91302966	CHOICE FINANCIAL GROUP	4501 23RD AVENUE SOUTH 	FARGO	ND	58104	041	2015-01-26T14:47:31
827355	4598	3959	0	101201164	FIRST NATIONAL BANK OF NEVADA, THE	100 WEST WALNUT 	NEVADA	MO	64772	041	2015-01-27T11:03:07
827458	8637	0	0	91305280	DAKOTA WESTERN BANK	202 SOUTH MAIN STREET 	BOWMAN	ND	58623	041	2015-01-16T16:16:24
827560	25158	0	0	321381233	FINANCE FACTORS, LIMITED	1164 BISHOP STREET, SUITE 300 	HONOLULU	HI	96813	031	2015-03-31T16:36:06
828110	19978	15733	0	31201085	PENNSVILLE NATIONAL BANK, THE	170 SOUTH BROADWAY 	PENNSVILLE	NJ	08070	041	2015-01-23T09:25:40
828174	29164	703019	3019	261270831	FIRST FEDERAL SAVINGS & LOAN ASSOCIATION OF VALDOSTA	411 NORTH PATTERSON STREET 	VALDOSTA	GA	316014605	041	2015-01-28T11:53:35
828473	31184	706503	6503	231375151	CITIZENS SAVINGS BANK	500 SOUTH STATE STREET 	CLARKS SUMMIT	PA	18411	041	2015-01-26T12:20:57
828651	19220	0	0	107001232	ANB BANK	3033 EAST 1ST AVENUE 	DENVER	CO	80206	041	2015-01-30T17:32:04
829032	20215	0	55051	51501325	BCBANK, INC.	27 PIKE STREET 	PHILIPPI	WV	26416	041	2015-02-12T15:06:35
829041	15675	0	0	83907913	CITIZENS BANK & TRUST COMPANY	201 EAST MAIN STREET 	CAMPBELLSVILLE	KY	42718	041	2015-02-09T11:10:23
829050	4146	13770	0	103100250	BANK, NATIONAL ASSOCIATION, THE	201 EAST CARL ALBERT PARKWAY 	MCALESTER	OK	74501	041	2015-02-03T09:08:03
829256	10203	25066	0	96000661	WESTERN BANK, NATIONAL ASSOCIATION	663 UNIVERSITY AVE. 	SAINT PAUL	MN	55104	041	2015-01-30T17:14:36
829452	9811	0	0	101206389	COMMERCIAL BANK OF OAK GROVE	1114 SOUTH BROADWAY 	OAK GROVE	MO	64075	041	2015-01-30T09:36:28
830113	13209	0	0	41212815	FORT JENNINGS STATE BANK, THE	120 NORTH WATER STREET 	FORT JENNINGS	OH	45844	041	2015-01-16T14:37:36
830252	15501	0	0	114911519	LYTLE STATE BANK OF LYTLE, TEXAS, THE	14631 S FM 2790 WEST 	LYTLE	TX	78052	041	2015-01-27T17:25:47
830355	4145	5052	0	103100218	FIRST NATIONAL BANK & TRUST COMPANY OF MCALESTER	235 EAST CHOCTAW 	MCALESTER	OK	74501	041	2015-01-29T15:29:46
830542	1552	0	12483	73900742	CENTRAL STATE BANK	301 IOWA AVENUE 	MUSCATINE	IA	52761	041	2015-03-18T09:23:13
830645	11319	0	9391	71107220	FARMERS BANK OF MT. PULASKI, THE	130 SOUTH WASHINGTON STREET 	MOUNT PULASKI	IL	62548	041	2015-01-26T10:38:59
830748	12113	0	0	81913158	GERMANTOWN TRUST & SAVINGS BANK	205 GERMANTOWN ROAD 	BREESE	IL	62230	041	2015-01-27T17:00:03
831008	18194	0	10540	211170208	GUILFORD SAVINGS BANK, THE	1 PARK STREET BOX 369	GUILFORD	CT	06437	041	2015-01-28T09:40:03
831044	8092	0	0	73919911	FIRST TRUST & SAVINGS BANK, THE	245 MAIN STREET 	MOVILLE	IA	51039	041	2015-01-26T13:10:07
831352	19480	0	0	91310518	BANK OF TURTLE LAKE	205 MAIN STREET 	TURTLE LAKE	ND	58575	041	2015-01-26T18:47:39
831549	4527	8407	0	101905512	FLOWERS NATIONAL BANK	1415 WASHINGTON ST 	CAINSVILLE	MO	64632	041	2015-01-29T18:10:50
831576	29177	0	0	284073785	BANKTENNESSEE	1125 WEST POPLAR 	COLLIERVILLE	TN	38017	041	2015-01-30T10:37:34
831642	11228	0	0	75902337	FIRST CITIZENS STATE BANK	207 WEST MAIN STREET 	WHITEWATER	WI	53190	041	2015-01-30T19:53:36
831875	31197	706517	6517	242170280	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION	479 MAIN STREET 	HAZARD	KY	41701	041	2015-01-29T10:13:45
831941	15590	0	0	83907887	TAYLOR COUNTY BANK	201 LEBANON AVENUE 	CAMPBELLSVILLE	KY	42718	041	2015-01-20T14:36:10
832528	2444	0	0	51502641	CLAY COUNTY BANK, INC.	150 MAIN STREET 	CLAY	WV	25043	041	2015-01-27T11:47:19
832546	14929	0	11332	72408290	WEST SHORE BANK	201 WEST LOOMIS STREET 	LUDINGTON	MI	49431	041	2015-01-28T14:07:05
833271	27013	0	0	36002069	CONESTOGA BANK	165 POTTSTOWN PIKE 	CHESTER SPRINGS	PA	19425	041	2015-01-30T11:50:46
833404	23286	0	12488	211370642	FALL RIVER FIVE CENTS SAVINGS BANK	79 NORTH MAIN STREET 	FALL RIVER	MA	02720	041	2015-02-03T14:21:13
833646	8254	0	0	81509106	BANK OF CAIRO AND MOBERLY	207 EAST ROLLINS STREET 	MOBERLY	MO	65270	041	2015-01-21T17:20:50
833749	5335	0	0	75901561	WOODTRUST BANK	181 2ND STREET SOUTH 	WISCONSIN RAPIDS	WI	54494	041	2015-01-29T17:36:50
833758	25851	18458	0	101105244	FIRST NATIONAL BANK OF ELKHART	601 MORTON 	ELKHART	KS	67950	041	2015-01-27T11:28:15
833851	8218	0	0	91905525	FIRST STATE BANK OF SWANVILLE	306 DEGRAFF AVENUE 	SWANVILLE	MN	56382	041	2015-01-27T11:43:27
834175	29186	0	0	264171432	LAWRENCEBURG FEDERAL BANK	118 W. GAINES STREET 	LAWRENCEBURG	TN	38464	041	2015-01-27T13:05:25
834755	12195	0	0	91201287	LAKE BANK, THE	613 FIRST AVENUE 	TWO HARBORS	MN	55616	041	2015-02-10T09:32:51
835079	28063	700827	827	242271969	COVINGTON SAVINGS AND LOAN ASSOCIATION, THE	117 N HIGH ST 	COVINGTON	OH	45318	041	2015-01-26T14:29:05
835257	9760	0	0	91915890	COMMUNITY BANK MANKATO	201 EAST MAIN STREET 	VERNON CENTER	MN	56090	041	2015-01-27T15:49:15
835378	30043	0	4618	271170154	BEARDSTOWN SAVINGS, S.B.	301 STATE STREET 	BEARDSTOWN	IL	62618	041	2015-01-28T16:18:49
835444	11310	0	0	81203318	BANK OF HERRIN, THE	101 SOUTH PARK AVENUE 	HERRIN	IL	62948	041	2015-01-13T18:10:22
835613	8121	0	0	42107657	SECURITY BANK AND TRUST COMPANY	1 WEST 2ND STREET 	MAYSVILLE	KY	41056	041	2015-01-26T12:53:25
835659	11465	0	0	101904225	TRI-COUNTY TRUST COMPANY	103 COMMERCE 	GLASGOW	MO	65254	041	2015-01-23T16:29:16
835743	8232	0	0	84201663	BANK OF HOLLY SPRINGS, THE	970 HIGHWAY 7 SOUTH 	HOLLY SPRINGS	MS	38635	041	2015-01-05T13:46:30
835770	29188	703069	3069	275970130	FOX VALLEY SAVINGS BANK	51 EAST FIRST STREET 	FOND DU LAC	WI	54935	041	2015-01-28T17:39:43
835958	15804	0	0	91901684	FIRST STATE BANK OF WABASHA	111 WEST MAIN STREET 	WABASHA	MN	55981	041	2015-01-26T15:21:19
836544	249	0	16191	73920735	COLUMBUS JUNCTION STATE BANK	134 MAIN STREET 	COLUMBUS JUNCTION	IA	52738	041	2015-01-26T18:04:05
836656	4144	0	0	103105695	FARMERS AND MERCHANTS BANK	107 WEST MAIN 	MAYSVILLE	OK	73057	041	2015-01-12T13:15:48
836843	14843	0	10044	73901233	MIDWESTONE BANK	102 SOUTH CLINTON STREET 	IOWA CITY	IA	52240	041	2015-01-29T12:13:34
836852	5271	0	0	91901558	ROUNDBANK	200 2ND STREET NE 	WASECA	MN	56093	041	2015-04-14T14:39:07
837000	7072	13126	0	21411335	FIRST NATIONAL BANK OF LONG ISLAND, THE	10 GLEN HEAD ROAD 	GLEN HEAD	NY	11545	041	2015-01-30T12:04:10
837037	21578	16325	15208	66009456	CONTINENTAL NATIONAL BANK	1801 S.W. 1ST STREET 	MIAMI	FL	33135	041	2015-01-29T11:24:30
837046	13616	0	16259	73904502	CORYDON STATE BANK	201 WEST JACKSON 	CORYDON	IA	50060	041	2015-01-22T12:18:48
837149	14735	0	0	83902468	FIRST COMMUNITY BANK OF THE HEARTLAND, INC.	114 EAST JACKSON STREET 	CLINTON	KY	42031	041	2015-02-03T17:06:47
837158	4148	5252	0	103101754	FIRST NATIONAL BANK AND TRUST COMPANY OF MIAMI, THE	2 NORTH MAIN 	MIAMI	OK	74354	041	2015-07-27T13:41:46
837260	20852	0	0	122232109	CALIFORNIA BANK & TRUST	11622 EL CAMINO REAL, SUITE 200 	SAN DIEGO	CA	92130	041	2015-01-30T15:40:36
837354	5270	6544	0	91901561	FIRST NATIONAL BANK OF WASECA, THE	101 N. STATE STREET 	WASECA	MN	56093	041	2015-01-26T12:30:25
837448	11674	0	13398	71109846	WARREN-BOYNTON STATE BANK	702 WEST ILLINOIS STREET 	NEW BERLIN	IL	62670	041	2015-01-12T16:25:34
837541	9259	0	0	81913556	FARMERS STATE BANK OF HOFFMAN	ROUTE 161 AND BROADWAY 	HOFFMAN	IL	62250	041	2015-01-26T16:24:59
837550	9806	0	0	101217750	SECURITY BANK	606 EAST WALNUT 	RICH HILL	MO	64779	041	2015-01-26T15:37:17
837608	17797	707794	7794	211370736	ROLLSTONE BANK & TRUST	780 MAIN STREET 	FITCHBURG	MA	01420	041	2015-01-20T12:58:22
837653	3919	0	0	91310631	HEARTLAND STATE BANK	401 SECOND STREET 	EDGELEY	ND	58433	041	2015-09-21T14:46:41
837840	11446	0	0	84201676	MERCHANTS & FARMERS BANK	650 HIGHWAY 7 SOUTH 	HOLLY SPRINGS	MS	38635	041	2015-01-28T17:41:53
837952	26340	0	0	101104287	FLINT HILLS BANK	103 1/2 NORTH MAIN STREET 	ESKRIDGE	KS	66423	041	2015-01-15T17:45:00
837970	27697	700133	133	265070545	FIFTH DISTRICT SAVINGS BANK	4000 GENERAL DEGAULLE DRIVE 	NEW ORLEANS	LA	70114	041	2015-01-15T13:13:56
838155	17174	0	0	91311009	PEOPLES STATE BANK, FAIRMOUNT, NORTH DAKOTA	201 MAIN AVENUE 	FAIRMOUNT	ND	58030	041	2015-01-20T17:43:16
839068	1497	0	0	114904775	SECURITY STATE BANK	1000 NORTH OAK STREET 	PEARSALL	TX	780613409	041	2015-01-20T08:31:44
839246	8775	0	0	83903098	BANK OF COLUMBIA	144 PUBLIC SQUARE 	COLUMBIA	KY	42728	041	2015-01-27T14:49:07
839255	16127	0	0	103012843	FNB COMMUNITY BANK	2911 SOUTH AIR DEPOT 	MIDWEST CITY	OK	73110	041	2015-02-12T17:54:49
839572	32242	708039	8039	242272324	LIBERTY SAVINGS BANK, F.S.B.	3435 AIRBORNE ROAD SUITE B	WILMINGTON	OH	45177	041	2015-03-11T10:56:51
839817	288	0	0	42104579	FARMERS & TRADERS BANK OF CAMPTON	215 MOUNTAIN PARKWAY 	CAMPTON	KY	41301	041	2015-01-30T21:16:08
839974	29206	0	3099	311971705	GRAHAM SAVINGS AND LOAN, SSB	745 ELM STREET 	GRAHAM	TX	76450	041	2015-01-28T11:58:51
840019	262	0	0	42104469	CITIZENS BANK	411 DYSART WAY 	MOUNT VERNON	KY	40456	041	2015-01-29T11:54:22
840251	4664	0	0	101102289	HOME BANK AND TRUST COMPANY	217 NORTH MAIN 	EUREKA	KS	67045	041	2015-01-15T12:08:04
840354	5278	0	0	91210922	FIRST FINANCIAL BANK IN WINNEBAGO	1 MAIN STREET SOUTH 	WINNEBAGO	MN	56098	041	2015-01-23T16:34:16
840363	3387	0	0	111308057	FIRSTBANK SOUTHWEST	2401 S GEORGIA ST 	AMARILLO	TX	791091924	041	2015-01-29T17:36:42
840578	28085	0	0	244271543	NELSONVILLE HOME & SAVINGS	9 W COLUMBUS ST 	NELSONVILLE	OH	45764	041	2015-01-16T10:18:46
840747	12855	0	10512	73908045	FARMERS STATE BANK	1009 PEOPLES SQUARE 	WATERLOO	IA	507025740	041	2015-01-29T18:16:22
841436	21272	0	17768	71924063	AMERICAN MIDWEST BANK	1985 DEKALB AVENUE 	SYCAMORE	IL	60178	041	2015-01-29T17:46:28
841472	27742	0	207	274970267	MUTUAL SAVINGS BANK	80 EAST JEFFERSON STREET 	FRANKLIN	IN	46131	041	2015-02-09T14:42:22
841539	12610	0	11396	65200926	SAINT MARTIN BANK AND TRUST COMPANY	301 S. MAIN STREET 	SAINT MARTINVILLE	LA	70582	041	2015-01-26T11:38:29
841753	12608	0	0	111102949	CITY BANK & TRUST CO.	146 ST DENIS STREET 	NATCHITOCHES	LA	71457	041	2015-01-21T11:32:40
841838	9499	0	0	64202967	CIVIS BANK	210 EAST MAIN STREET 	ROGERSVILLE	TN	37857	041	2015-01-29T16:44:44
842116	266	0	0	42101556	FARMERS DEPOSIT BANK	386 WEST MAIN STREET 	CARLISLE	KY	403111154	041	2015-07-17T11:16:29
842376	27760	0	234	243074071	WEST VIEW SAVINGS BANK	9001 PERRY HIGHWAY 	PITTSBURGH	PA	15237	041	2015-01-28T10:27:53
842460	24347	17611	0	114911687	LONE STAR NATIONAL BANK	206 WEST FERGUSON 	PHARR	TX	78577	041	2015-01-30T17:43:52
842853	10567	0	0	91908713	UNITED MINNESOTA BANK	105 EAST CENTRAL AVENUE E 	NEW LONDON	MN	56273	041	2015-01-22T15:05:16
843177	28092	700887	887	291471134	HOME FEDERAL BANK	225 SOUTH MAIN AVENUE 	SIOUX FALLS	SD	57104	041	2015-01-30T15:01:32
843476	30067	0	0	273970941	CORNERSTONE BANK	123 EAST MAIN STREET 	CLARINDA	IA	51632	041	2015-01-26T10:50:11
843542	94	0	0	82901596	FIRST STATE BANK OF WARREN	104 SOUTH MAIN STREET 	WARREN	AR	71671	041	2015-04-20T14:01:15
843953	13450	0	0	101105985	FOWLER STATE BANK	401 MAIN STREET 	FOWLER	KS	67844	041	2015-10-08T14:50:40
844053	19213	15379	0	104000841	SECURITY NATIONAL BANK OF OMAHA	1120 SOUTH 101ST STREET 	OMAHA	NE	68124	041	2015-01-23T10:47:04
844138	17587	0	0	65204951	SIMMESPORT STATE BANK	HIGHWAY 1 AND LAUREL STREET 	SIMMESPORT	LA	71369	041	2015-04-27T09:52:31
844455	13798	14370	0	101101921	FIRST NATIONAL BANK IN FREDONIA	730 MADISON 	FREDONIA	KS	66736	041	2015-01-26T10:08:29
844567	3389	0	0	111906006	POINTBANK	200 SOUTH HIGHWAY 377 	PILOT POINT	TX	762589264	041	2015-01-27T18:16:03
845247	9678	0	0	83904181	EDMONTON STATE BANK	909 WEST MAIN STREET 	GLASGOW	KY	42141	041	2015-01-22T11:51:40
845443	11348	0	12478	73921200	COMMUNITY FIRST BANK	714 1ST STREET 	KEOSAUQUA	IA	52565	041	2015-01-29T16:38:06
845452	1388	0	0	91208905	ORMSBY STATE BANK	513 MAIN STREET 	ORMSBY	MN	56162	041	2015-01-22T09:44:46
845573	30076	0	4693	221271951	SPENCER SAVINGS BANK, SAVINGS AND LOAN ASSOCIATION	611 RIVER DRIVE RIVER DRIVE CENTER 3	ELMWOOD PARK	NJ	07407	041	2015-03-26T08:48:49
846132	10803	0	0	71112561	DEWEY BANK	2994 CR 900 EAST 	DEWEY	IL	61840	041	2015-09-09T11:31:16
846356	17691	0	0	81012952	EAGLE BANK AND TRUST COMPANY OF MISSOURI	10596 HIGHWAY 21 	HILLSBORO	MO	63050	041	2015-01-23T11:53:28
846619	2281	0	0	41209307	CORTLAND SAVINGS AND BANKING COMPANY, THE	194 W MAIN ST 	CORTLAND	OH	44410	041	2015-01-30T10:21:56
846945	2469	0	0	75902188	BADGER BANK	220 GRANT STREET 	FORT ATKINSON	WI	53538	041	2015-01-27T14:14:57
847157	8544	0	0	91210074	UNITED COMMUNITY BANK	301 WEST MAIN STREET 	PERHAM	MN	56573	041	2015-01-28T11:32:59
847979	32286	0	8094	242270698	COMMUNITY SAVINGS BANK	503 WEST PLANE ST 	BETHEL	OH	45106	041	2015-03-04T10:48:21
848248	19644	15608	0	84001148	FIDELITY NATIONAL BANK	330 WEST BROADWAY 	WEST MEMPHIS	AR	72301	041	2015-01-30T12:58:10
848453	13960	0	0	81506358	BANK OF HOUSTON, THE	404 SOUTH GRAND 	HOUSTON	MO	65483	041	2015-01-30T13:28:54
849076	29241	703155	3155	311971776	HENDERSON FEDERAL SAVINGS BANK	130 N MARSHALL ST 	HENDERSON	TX	75652	041	2015-01-29T17:42:18
849348	230	0	0	73917887	COMMUNITY STATE BANK	1812 HIGHWAY BOULEVARD 	SPENCER	IA	51301	041	2015-01-16T13:48:52
849357	3268	6922	0	111911033	FIRST NATIONAL BANK OF HUGHES SPRINGS, THE	505 EAST FIRST STREET 	HUGHES SPRINGS	TX	75656	041	2015-01-09T10:40:14
849432	6180	0	0	51502395	BANK OF MONROE, THE	39 MAIN STREET 	UNION	WV	24983	041	2015-01-27T09:39:01
849450	4156	9011	0	103102410	EASTMAN NATIONAL BANK OF NEWKIRK, THE	102 SOUTH MAIN STREET 	NEWKIRK	OK	74647	041	2015-01-16T15:50:36
849647	11349	0	10879	73902821	IOWA STATE SAVINGS BANK	222 EAST ROBINSON 	KNOXVILLE	IA	50138	041	2015-02-11T17:21:33
849665	19006	0	0	123202293	SIUSLAW BANK	777 HIGHWAY 101 	FLORENCE	OR	97439	041	2015-01-22T14:10:18
849777	30099	0	4742	221272028	METUCHEN SAVINGS BANK	429 MAIN ST 	METUCHEN	NJ	08840	041	2015-01-30T10:04:38
850036	3657	0	11088	71922777	FIRST AMERICAN BANK	700 BUSSE ROAD 	ELK GROVE VILLAGE	IL	60007	041	2015-06-15T17:53:49
850054	5460	13557	0	104101465	FIRST NATIONAL BANK IN ORD	1411 "M" STREET 	ORD	NE	68862	041	2015-01-20T15:14:12
850456	17317	0	0	101102221	GOPPERT STATE SERVICE BANK	FIFTH AND OAK 	GARNETT	KS	66032	041	2015-01-27T14:41:47
851060	24064	17434	0	114910918	ATASCOSA NATIONAL BANK	1525 W. OAKLAWN DRIVE 	PLEASANTON	TX	780643829	041	2015-01-29T21:26:06
851172	31900	0	7583	253272229	CITIZENS BUILDING AND LOAN, SSB	229 TRADE STREET 	GREER	SC	29651	041	2015-01-29T10:30:13
851239	11952	0	0	51503145	POCA VALLEY BANK, INC., THE	7033 CHARLESTON ROAD 	WALTON	WV	25286	041	2015-01-29T18:45:34
851631	1808	0	15971	71120207	BETTER BANKS	10225 NORTH KNOXVILLE AVENUE 	PEORIA	IL	61615	041	2015-01-29T17:34:14
852218	628	8	0	21000021	JPMORGAN CHASE BANK, NATIONAL ASSOCIATION	1111 POLARIS PARKWAY 	COLUMBUS	OH	43240	031	2017-07-14T13:06:21
852254	9420	0	0	91310741	UNION BANK, THE	1700 HIGHWAY 49 NORTH 	BEULAH	ND	58523	041	2015-06-24T09:53:17
852263	10781	0	0	121106252	SCOTT VALLEY BANK	515 SOUTH BROADWAY 	YREKA	CA	96097	041	2015-01-27T13:15:05
852320	9846	0	12045	53101121	BRANCH BANKING AND TRUST COMPANY	200 WEST SECOND STREET SUITE 110 	WINSTON-SALEM	NC	27101	031	2015-02-04T21:16:13
852357	8884	0	0	101913177	HOME EXCHANGE BANK	220 SOUTH BROADWAY 	JAMESPORT	MO	64648	041	2015-02-06T11:24:09
852544	1528	0	0	82901334	SOUTHERN BANCORP BANK	601 MAIN STREET 	ARKADELPHIA	AR	71923	041	2015-04-22T16:13:58
852704	26333	0	0	22313021	GENESEE REGIONAL BANK	3380 MONROE AVENUE 	ROCHESTER	NY	14618	041	2015-01-29T11:48:01
852713	7714	0	0	31907790	QNB BANK	15 N. THIRD STREET 	QUAKERTOWN	PA	18951	041	2015-02-10T14:22:05
852870	28134	0	0	231372112	CRESSON COMMUNITY BANK	700 SECOND ST. 	CRESSON	PA	16630	041	2015-01-27T09:08:07
852973	19827	21060	0	123200059	PIONEER TRUST BANK, NATIONAL ASSOCIATION	109 COMMERCIAL STREET NORTHEAST 	SALEM	OR	97301	041	2015-01-22T15:41:52
853112	9443	0	0	44109336	HEARTLAND BANK	850 NORTH HAMILTON ROAD 	GAHANNA	OH	43230	041	2015-08-17T13:30:36
853251	26351	21008	0	113001242	UNITY NATIONAL BANK OF HOUSTON	2602 BLODGETT 	HOUSTON	TX	770045316	041	2015-01-28T16:27:21
853671	30111	704769	4769	253272410	OCONEE FEDERAL SAVINGS AND LOAN ASSOCIATION	115 EAST NORTH SECOND STREET 	SENECA	SC	29678	041	2015-08-03T16:24:27
853747	15760	14435	0	81221549	CITIZENS NATIONAL BANK OF ALBION	10 WEST ELM STREET 	ALBION	IL	62806	041	2015-01-29T10:37:17
853804	90175	0	8486	211373102	BANK OF CANTON, THE	490 TURNPIKE STREET 	CANTON	MA	02021	041	2015-02-17T16:59:14
853934	17734	0	0	63106352	COMMUNITY STATE BANK	811 SOUTH WALNUT STREET 	STARKE	FL	32091	041	2015-01-28T09:35:29
853952	12633	0	0	86500634	CENTRAL TRUST BANK, THE	238 MADISON STREET 	JEFFERSON CITY	MO	65101	041	2015-01-27T17:15:17
853970	26263	0	0	42202138	FIRST SAFETY BANK	4901 VINE STREET 	CINCINNATI	OH	452171263	041	2015-01-27T11:18:07
854052	8545	0	0	91903608	UNITY BANK	1180 WEST 4TH STREET 	RUSH CITY	MN	55069	041	2015-01-28T15:38:21
854173	30121	0	4789	231371618	INVESTMENT SAVINGS BANK	1201 EIGHTH AVENUE 	ALTOONA	PA	16602	041	2015-01-30T11:19:12
854258	8329	0	0	104903139	PENDER STATE BANK	222 MAIN STREET 	PENDER	NE	68047	041	2015-01-28T17:09:15
854351	9127	0	0	91306108	BANK OF HAMILTON	1 WALL STREET 	HAMILTON	ND	58238	041	2015-01-03T15:14:26
854454	19762	0	0	86501578	JEFFERSON BANK OF MISSOURI	700 SOUTHWEST BOULEVARD 	JEFFERSON CITY	MO	65109	041	2015-01-28T10:41:55
854548	8871	0	0	65301854	OMNIBANK	531 THIRD STREET 	BAY SPRINGS	MS	39422	041	2015-01-29T11:01:45
854753	1903	0	0	91909437	SAINT CLAIR STATE BANK (INCORPORATED)	100 MAIN STREET WEST 	SAINT CLAIR	MN	56080	041	2015-02-06T12:41:29
